"","Ozone","Solar.R","Wind","Temp","Month","Day"
"1",40,189,7,84,5,1
"2",42,135,6,89,5,2
"3",14,154,15,68,5,3
"4",17,316,11,41,5,4
"5",NA,NA,13,63,5,5
"6",21,NA,16,79,5,6
"7",31,304,10,60,5,7
"8",18,85,13,70,5,8
"9",12,14,19,55,5,9
"10",NA,193,9,64,5,10
"11",9,NA,9,83,5,11
"12",15,247,10,88,5,12
"13",8,305,10,69,5,13
"14",11,259,10,73,5,14
"15",14,71,17,40,5,15
"16",14,329,14,72,5,16
"17",33,306,10,75,5,17
"18",15,85,26,63,5,18
"19",19,303,15,83,5,19
"20",14,64,12,76,5,20
"21",0,3,11,80,5,21
"22",9,315,17,70,5,22
"23",4,34,7,73,5,23
"24",29,75,15,69,5,24
"25",NA,53,17,76,5,25
"26",NA,257,17,54,5,26
"27",NA,NA,8,58,5,27
"28",28,13,12,61,5,28
"29",47,252,16,67,5,29
"30",118,215,3,82,5,30
"31",45,272,10,60,5,31
"32",NA,300,11,71,6,1
"33",NA,279,10,83,6,2
"34",NA,265,17,67,6,3
"35",NA,187,11,85,6,4
"36",NA,227,10,80,6,5
"37",NA,266,15,98,6,6
"38",31,127,15,85,6,7
"39",NA,277,7,84,6,8
"40",70,282,16,103,6,9
"41",34,325,10,82,6,10
"42",NA,241,9,112,6,11
"43",NA,265,12,95,6,12
"44",22,146,8,92,6,13
"45",NA,326,12,94,6,14
"46",NA,316,13,88,6,15
"47",22,191,17,74,6,16
"48",28,276,20,78,6,17
"49",16,49,9,55,6,18
"50",6,128,11,88,6,19
"51",16,131,11,89,6,20
"52",NA,150,6,79,6,21
"53",NA,57,0,87,6,22
"54",NA,78,1,92,6,23
"55",NA,243,8,60,6,24
"56",NA,129,8,59,6,25
"57",NA,147,7,85,6,26
"58",NA,62,14,78,6,27
"59",NA,111,13,88,6,28
"60",NA,39,12,82,6,29
"61",NA,125,6,94,6,30
"62",139,261,8,94,7,1
"63",52,243,9,93,7,2
"64",36,248,13,90,7,3
"65",NA,99,10,90,7,4
"66",63,173,6,80,7,5
"67",33,310,12,93,7,6
"68",84,257,5,132,7,7
"69",102,268,5,103,7,8
"70",93,268,9,101,7,9
"71",86,164,7,110,7,10
"72",NA,138,7,110,7,11
"73",17,271,12,70,7,12
"74",31,161,14,79,7,13
"75",NA,285,13,96,7,14
"76",14,75,13,85,7,15
"77",36,275,6,102,7,16
"78",36,292,12,79,7,17
"79",63,303,6,83,7,18
"80",81,189,4,103,7,19
"81",63,193,12,80,7,20
"82",17,18,9,73,7,21
"83",NA,240,11,94,7,22
"84",NA,307,13,82,7,23
"85",81,290,8,94,7,24
"86",107,228,4,92,7,25
"87",10,78,11,93,7,26
"88",54,81,11,83,7,27
"89",88,216,4,92,7,28
"90",52,272,13,92,7,29
"91",63,259,13,86,7,30
"92",54,255,10,96,7,31
"93",40,72,7,81,8,1
"94",4,36,15,90,8,2
"95",18,97,6,82,8,3
"96",70,NA,7,95,8,4
"97",31,NA,8,78,8,5
"98",67,NA,2,112,8,6
"99",117,262,2,98,8,7
"100",89,231,5,111,8,8
"101",108,217,10,86,8,9
"102",NA,219,6,100,8,10
"103",NA,145,13,81,8,11
"104",43,204,11,95,8,12
"105",23,284,13,99,8,13
"106",66,153,10,79,8,14
"107",NA,64,8,71,8,15
"108",19,86,11,75,8,16
"109",59,45,5,94,8,17
"110",27,109,3,91,8,18
"111",35,251,10,96,8,19
"112",42,191,12,79,8,20
"113",34,266,16,63,8,21
"114",10,54,16,73,8,22
"115",NA,241,10,80,8,23
"116",57,223,8,85,8,24
"117",158,243,5,67,8,25
"118",71,230,9,95,8,26
"119",NA,128,4,96,8,27
"120",83,187,9,96,8,28
"121",119,238,4,119,8,29
"122",86,242,8,116,8,30
"123",87,184,7,113,8,31
"124",100,174,7,108,9,1
"125",76,198,5,108,9,2
"126",64,184,0,93,9,3
"127",88,201,3,104,9,4
"128",52,101,7,101,9,5
"129",32,96,14,87,9,6
"130",23,259,9,86,9,7
"131",25,230,7,99,9,8
"132",24,227,9,81,9,9
"133",13,250,12,79,9,10
"134",55,248,12,78,9,11
"135",14,260,15,93,9,12
"136",26,238,6,83,9,13
"137",3,34,9,68,9,14
"138",21,110,15,71,9,15
"139",41,230,6,80,9,16
"140",30,213,15,58,9,17
"141",25,5,9,91,9,18
"142",26,231,11,82,9,19
"143",17,198,8,76,9,20
"144",4,247,12,87,9,21
"145",28,15,11,74,9,22
"146",36,136,7,90,9,23
"147",15,41,9,72,9,24
"148",19,36,18,61,9,25
"149",30,190,8,54,9,26
"150",NA,158,15,72,9,27
"151",8,190,16,84,9,28
"152",27,137,9,61,9,29
"153",15,235,9,62,9,30
